Date,Open,High,Low,Close,Volume
2016-01-04,0.81,0.81,0.8,0.81,358076000
2016-01-05,0.82,0.84,0.81,0.82,490272000
2016-01-06,0.81,0.81,0.78,0.79,449344000
2016-01-07,0.77,0.77,0.75,0.76,645304000
2016-01-08,0.77,0.77,0.74,0.74,398472000
2016-01-11,0.74,0.75,0.73,0.74,409372000
2016-01-12,0.76,0.77,0.75,0.75,469356000
2016-01-13,0.76,0.77,0.73,0.73,481672000
2016-01-14,0.72,0.73,0.7,0.72,600236000
2016-01-15,0.69,0.7,0.67,0.68,841452000
2016-01-19,0.69,0.71,0.68,0.68,457140000
2016-01-20,0.67,0.7,0.66,0.69,481180000
2016-01-21,0.69,0.71,0.68,0.69,481456000
2016-01-22,0.71,0.72,0.71,0.71,257996000
2016-01-25,0.71,0.72,0.71,0.71,270728000
2016-01-26,0.71,0.72,0.7,0.72,227944000
2016-01-27,0.72,0.72,0.7,0.71,231700000
2016-01-28,0.71,0.72,0.69,0.7,276776000
2016-01-29,0.71,0.73,0.7,0.73,310504000
2016-02-01,0.73,0.74,0.73,0.73,289884000
2016-02-02,0.73,0.73,0.7,0.7,341908000
2016-02-03,0.71,0.71,0.69,0.7,326772000
2016-02-04,0.71,0.72,0.7,0.71,348140000
2016-02-05,0.7,0.71,0.66,0.66,600428000
2016-02-08,0.65,0.65,0.62,0.63,608852000
2016-02-09,0.62,0.66,0.62,0.64,425372000
2016-02-10,0.64,0.66,0.63,0.64,335800000
2016-02-11,0.62,0.64,0.62,0.63,340144000
2016-02-12,0.64,0.64,0.62,0.64,340816000
2016-02-16,0.65,0.68,0.65,0.67,485352000
2016-02-17,0.68,0.7,0.68,0.69,771468000
2016-02-18,0.75,0.77,0.75,0.75,1068660000
2016-02-19,0.75,0.77,0.74,0.76,525628000
2016-02-22,0.77,0.8,0.77,0.79,449668000
2016-02-23,0.78,0.8,0.78,0.79,369380000
2016-02-24,0.79,0.8,0.76,0.8,336852000
2016-02-25,0.8,0.8,0.78,0.8,349616000
2016-02-26,0.8,0.8,0.78,0.79,361964000
2016-02-29,0.79,0.8,0.78,0.78,323344000
2016-03-01,0.79,0.82,0.78,0.82,348700000
2016-03-02,0.81,0.83,0.81,0.82,233812000
2016-03-03,0.82,0.83,0.81,0.82,302004000
2016-03-04,0.82,0.82,0.81,0.81,175304000
2016-03-07,0.81,0.81,0.8,0.81,239968000
2016-03-08,0.8,0.81,0.79,0.79,274940000
2016-03-09,0.8,0.8,0.78,0.79,222788000
2016-03-10,0.8,0.8,0.78,0.79,286084000
2016-03-11,0.8,0.81,0.79,0.81,277400000
2016-03-14,0.8,0.81,0.8,0.81,190312000
2016-03-15,0.8,0.81,0.79,0.8,226216000
2016-03-16,0.8,0.83,0.79,0.83,363644000
2016-03-17,0.82,0.83,0.81,0.82,353680000
2016-03-18,0.83,0.86,0.82,0.85,545512000
2016-03-21,0.84,0.85,0.83,0.85,337780000
2016-03-22,0.85,0.85,0.84,0.85,242012000
2016-03-23,0.85,0.87,0.85,0.86,429008000
2016-03-24,0.85,0.86,0.85,0.86,244956000
2016-03-28,0.86,0.87,0.86,0.87,265388000
2016-03-29,0.87,0.89,0.87,0.88,261812000
2016-03-30,0.89,0.91,0.89,0.89,376700000
2016-03-31,0.9,0.9,0.88,0.89,379884000
2016-04-01,0.89,0.9,0.88,0.9,348292000
2016-04-04,0.91,0.92,0.89,0.89,393940000
2016-04-05,0.89,0.9,0.88,0.89,339568000
2016-04-06,0.88,0.9,0.87,0.89,453376000
2016-04-07,0.89,0.9,0.88,0.89,378104000
2016-04-08,0.89,0.9,0.88,0.89,255936000
2016-04-11,0.9,0.91,0.89,0.9,387524000
2016-04-12,0.9,0.9,0.88,0.9,292764000
2016-04-13,0.9,0.92,0.9,0.92,350716000
2016-04-14,0.92,0.93,0.91,0.92,416564000
2016-04-15,0.92,0.94,0.92,0.93,436972000
2016-04-18,0.93,0.93,0.92,0.92,307320000
2016-04-19,0.93,0.93,0.9,0.91,309152000
2016-04-20,0.91,0.92,0.91,0.91,200172000
2016-04-21,0.91,0.92,0.91,0.91,178280000
2016-04-22,0.91,0.92,0.9,0.91,223540000
2016-04-25,0.91,0.92,0.9,0.91,191972000
2016-04-26,0.92,0.93,0.91,0.91,214536000
2016-04-27,0.91,0.93,0.91,0.93,352396000
2016-04-28,0.93,0.93,0.9,0.9,381224000
2016-04-29,0.9,0.9,0.88,0.89,321904000
2016-05-02,0.9,0.91,0.89,0.9,256076000
2016-05-03,0.89,0.89,0.88,0.89,224024000
2016-05-04,0.88,0.88,0.86,0.87,525764000
2016-05-05,0.88,0.88,0.87,0.87,246884000
2016-05-06,0.87,0.89,0.87,0.88,183240000
2016-05-09,0.89,0.89,0.87,0.88,333336000
2016-05-10,0.89,0.9,0.88,0.9,269676000
2016-05-11,0.9,0.91,0.9,0.9,328176000
2016-05-12,0.91,0.91,0.87,0.89,670540000
2016-05-13,0.98,1.02,0.98,1.02,2110256000
2016-05-16,1.02,1.07,1.01,1.05,973032000
2016-05-17,1.05,1.06,1.04,1.06,628392000
2016-05-18,1.05,1.1,1.05,1.08,541072000
2016-05-19,1.08,1.1,1.08,1.09,398880000
2016-05-20,1.1,1.11,1.09,1.11,391084000
2016-05-23,1.11,1.12,1.1,1.11,413636000
2016-05-24,1.11,1.14,1.11,1.13,415788000
2016-05-25,1.14,1.14,1.12,1.13,458076000
2016-05-26,1.13,1.15,1.13,1.14,309964000
2016-05-27,1.14,1.15,1.14,1.15,277416000
2016-05-31,1.15,1.17,1.15,1.17,412524000
2016-06-01,1.16,1.18,1.16,1.17,387132000
2016-06-02,1.18,1.19,1.16,1.18,329208000
2016-06-03,1.17,1.17,1.14,1.16,461076000
2016-06-06,1.16,1.17,1.15,1.16,322512000
2016-06-07,1.16,1.17,1.16,1.16,193400000
2016-06-08,1.16,1.16,1.14,1.15,234616000
2016-06-09,1.15,1.19,1.15,1.18,472168000
2016-06-10,1.17,1.18,1.15,1.15,400024000
2016-06-13,1.16,1.19,1.16,1.17,475588000
2016-06-14,1.17,1.18,1.15,1.17,298344000
2016-06-15,1.18,1.19,1.17,1.18,301036000
2016-06-16,1.18,1.19,1.16,1.19,246456000
2016-06-17,1.19,1.19,1.16,1.17,471000000
2016-06-20,1.19,1.2,1.19,1.19,293768000
2016-06-21,1.19,1.2,1.18,1.18,212508000
2016-06-22,1.18,1.19,1.18,1.18,202620000
2016-06-23,1.19,1.21,1.19,1.21,297880000
2016-06-24,1.16,1.18,1.13,1.14,1017684000
2016-06-27,1.13,1.14,1.11,1.13,449088000
2016-06-28,1.15,1.15,1.13,1.15,381920000
2016-06-29,1.16,1.18,1.15,1.17,318932000
2016-06-30,1.17,1.18,1.16,1.18,430940000
2016-07-01,1.17,1.18,1.16,1.17,218488000
2016-07-05,1.16,1.19,1.15,1.18,371084000
2016-07-06,1.18,1.2,1.17,1.19,273104000
2016-07-07,1.2,1.23,1.19,1.22,395400000
2016-07-08,1.24,1.28,1.23,1.27,481932000
2016-07-11,1.29,1.31,1.29,1.3,448776000
2016-07-12,1.32,1.33,1.3,1.32,436760000
2016-07-13,1.32,1.33,1.32,1.32,324604000
2016-07-14,1.33,1.35,1.32,1.33,316892000
2016-07-15,1.32,1.32,1.3,1.32,428616000
2016-07-18,1.33,1.34,1.32,1.32,252992000
2016-07-19,1.32,1.34,1.32,1.34,382652000
2016-07-20,1.34,1.36,1.34,1.36,296460000
2016-07-21,1.35,1.36,1.33,1.33,361308000
2016-07-22,1.34,1.37,1.33,1.37,315768000
2016-07-25,1.38,1.4,1.37,1.39,312528000
2016-07-26,1.4,1.42,1.4,1.42,514508000
2016-07-27,1.43,1.43,1.39,1.4,446676000
2016-07-28,1.4,1.41,1.4,1.4,221916000
2016-07-29,1.41,1.43,1.38,1.43,409588000
2016-08-01,1.43,1.44,1.41,1.42,301120000
2016-08-02,1.42,1.43,1.39,1.4,282748000
2016-08-03,1.4,1.41,1.39,1.4,299828000
2016-08-04,1.41,1.44,1.41,1.43,272712000
2016-08-05,1.45,1.46,1.44,1.46,371588000
2016-08-08,1.48,1.48,1.45,1.47,305064000
2016-08-09,1.48,1.49,1.47,1.47,372344000
2016-08-10,1.49,1.49,1.46,1.46,375740000
2016-08-11,1.47,1.5,1.47,1.49,681064000
2016-08-12,1.55,1.58,1.52,1.58,1425744000
2016-08-15,1.58,1.59,1.55,1.57,573304000
2016-08-16,1.57,1.57,1.56,1.57,287652000
2016-08-17,1.57,1.57,1.52,1.53,595212000
2016-08-18,1.53,1.55,1.52,1.55,331684000
2016-08-19,1.55,1.57,1.54,1.56,291560000
2016-08-22,1.56,1.57,1.54,1.56,244748000
2016-08-23,1.58,1.58,1.57,1.57,339764000
2016-08-24,1.58,1.58,1.54,1.55,298448000
2016-08-25,1.55,1.55,1.52,1.54,406032000
2016-08-26,1.54,1.56,1.53,1.55,300024000
2016-08-29,1.56,1.56,1.55,1.55,274652000
2016-08-30,1.55,1.56,1.54,1.54,285544000
2016-08-31,1.54,1.55,1.53,1.53,388544000
2016-09-01,1.53,1.58,1.53,1.58,428492000
2016-09-02,1.58,1.58,1.55,1.56,323148000
2016-09-06,1.57,1.58,1.56,1.58,306812000
2016-09-07,1.57,1.58,1.55,1.55,397988000
2016-09-08,1.55,1.57,1.54,1.57,315808000
2016-09-09,1.55,1.56,1.48,1.49,697760000
2016-09-12,1.47,1.52,1.43,1.52,598260000
2016-09-13,1.51,1.53,1.49,1.5,471768000
2016-09-14,1.5,1.51,1.49,1.51,319048000
2016-09-15,1.51,1.57,1.51,1.57,515212000
2016-09-16,1.57,1.58,1.55,1.57,902444000
2016-09-19,1.59,1.63,1.58,1.59,417128000
2016-09-20,1.61,1.61,1.57,1.58,331112000
2016-09-21,1.58,1.62,1.58,1.62,336212000
2016-09-22,1.63,1.64,1.62,1.63,308732000
2016-09-23,1.63,1.63,1.62,1.62,276132000
2016-09-26,1.61,1.62,1.59,1.61,230040000
2016-09-27,1.6,1.67,1.6,1.66,402752000
2016-09-28,1.67,1.67,1.65,1.67,319788000
2016-09-29,1.67,1.69,1.65,1.68,336684000
2016-09-30,1.69,1.73,1.68,1.71,429932000
2016-10-03,1.71,1.74,1.71,1.71,242596000
2016-10-04,1.71,1.74,1.69,1.71,281624000
2016-10-05,1.72,1.74,1.7,1.71,305440000
2016-10-06,1.69,1.7,1.66,1.68,360212000
2016-10-07,1.69,1.7,1.67,1.67,286260000
2016-10-10,1.68,1.69,1.66,1.68,287876000
2016-10-11,1.67,1.67,1.64,1.65,388540000
2016-10-12,1.65,1.67,1.63,1.66,419920000
2016-10-13,1.64,1.64,1.59,1.63,390116000
2016-10-14,1.65,1.66,1.64,1.65,330636000
2016-10-17,1.65,1.66,1.64,1.64,195328000
2016-10-18,1.66,1.67,1.66,1.67,269372000
2016-10-19,1.65,1.67,1.65,1.66,199060000
2016-10-20,1.68,1.7,1.66,1.69,312084000
2016-10-21,1.69,1.69,1.67,1.69,279508000
2016-10-24,1.7,1.77,1.7,1.77,339836000
2016-10-25,1.76,1.81,1.76,1.8,397460000
2016-10-26,1.78,1.82,1.78,1.8,333792000
2016-10-27,1.82,1.82,1.76,1.77,388664000
2016-10-28,1.78,1.8,1.76,1.76,290856000
2016-10-31,1.77,1.79,1.77,1.78,252388000
2016-11-01,1.79,1.8,1.71,1.73,473224000
2016-11-02,1.74,1.76,1.72,1.72,295848000
2016-11-03,1.73,1.73,1.67,1.7,309664000
2016-11-04,1.69,1.72,1.66,1.69,328780000
2016-11-07,1.74,1.79,1.74,1.78,487580000
2016-11-08,1.79,1.79,1.76,1.78,429884000
2016-11-09,1.73,1.77,1.72,1.75,456532000
2016-11-10,1.79,1.79,1.67,1.69,869280000
2016-11-11,1.99,2.22,1.96,2.2,2175344000
2016-11-14,2.2,2.2,2.09,2.09,1348796000
2016-11-15,2.11,2.19,2.1,2.15,626092000
2016-11-16,2.18,2.31,2.16,2.29,987984000
2016-11-17,2.31,2.37,2.27,2.31,832988000
2016-11-18,2.31,2.36,2.3,2.33,576060000
2016-11-21,2.35,2.36,2.31,2.32,436436000
2016-11-22,2.33,2.34,2.31,2.34,330368000
2016-11-23,2.34,2.38,2.32,2.35,443236000
2016-11-25,2.36,2.38,2.34,2.35,195564000
2016-11-28,2.35,2.37,2.34,2.35,278736000
2016-11-29,2.35,2.36,2.31,2.33,444568000
2016-11-30,2.34,2.35,2.3,2.31,440500000
2016-12-01,2.3,2.3,2.12,2.19,1035524000
2016-12-02,2.16,2.22,2.13,2.21,478292000
2016-12-05,2.25,2.32,2.22,2.3,602284000
2016-12-06,2.31,2.34,2.29,2.33,498796000
2016-12-07,2.32,2.38,2.3,2.38,480804000
2016-12-08,2.38,2.42,2.33,2.34,381544000
2016-12-09,2.36,2.36,2.27,2.3,382312000
2016-12-12,2.25,2.25,2.19,2.24,601332000
2016-12-13,2.25,2.31,2.25,2.28,387796000
2016-12-14,2.31,2.43,2.29,2.41,983980000
2016-12-15,2.42,2.5,2.41,2.47,746548000
2016-12-16,2.5,2.52,2.44,2.51,1089528000
2016-12-19,2.49,2.56,2.47,2.54,744656000
2016-12-20,2.61,2.65,2.6,2.63,848056000
2016-12-21,2.64,2.65,2.59,2.65,576136000
2016-12-22,2.67,2.72,2.66,2.68,718612000
2016-12-23,2.66,2.75,2.66,2.74,647692000
2016-12-27,2.8,2.93,2.78,2.93,1194272000
2016-12-28,2.99,3.0,2.72,2.73,2295764000
2016-12-29,2.62,2.79,2.57,2.79,2175368000
2016-12-30,2.78,2.8,2.66,2.67,1212932000
2017-01-03,2.61,2.66,2.48,2.55,1501996000
2017-01-04,2.59,2.64,2.54,2.61,1199220000
2017-01-05,2.61,2.65,2.53,2.54,984296000
2017-01-06,2.57,2.61,2.53,2.58,822856000
2017-01-09,2.59,2.7,2.59,2.68,916248000
2017-01-10,2.7,2.73,2.64,2.66,880920000
2017-01-11,2.65,2.65,2.6,2.63,525664000
2017-01-12,2.61,2.62,2.54,2.59,625616000
2017-01-13,2.59,2.62,2.58,2.59,457820000
2017-01-17,2.58,2.58,2.51,2.53,580612000
2017-01-18,2.51,2.58,2.48,2.57,654424000
2017-01-19,2.58,2.66,2.57,2.63,644872000
2017-01-20,2.65,2.67,2.58,2.6,492024000
2017-01-23,2.6,2.65,2.59,2.63,369904000
2017-01-24,2.64,2.69,2.62,2.68,428052000
2017-01-25,2.73,2.73,2.66,2.69,522760000
2017-01-26,2.7,2.75,2.67,2.74,458800000
2017-01-27,2.75,2.8,2.72,2.79,471996000
2017-01-30,2.77,2.78,2.7,2.75,496004000
2017-01-31,2.72,2.75,2.7,2.73,362756000
2017-02-01,2.76,2.85,2.75,2.85,590004000
2017-02-02,2.83,2.89,2.8,2.88,483240000
2017-02-03,2.89,2.9,2.85,2.86,372744000
2017-02-06,2.85,2.93,2.85,2.93,506768000
2017-02-07,2.97,3.02,2.95,2.98,746224000
2017-02-08,2.96,2.98,2.91,2.97,449580000
2017-02-09,2.97,2.98,2.89,2.91,842568000
2017-02-10,3.0,3.02,2.82,2.84,1651092000
2017-02-13,2.83,2.85,2.7,2.71,1180724000
2017-02-14,2.7,2.75,2.66,2.72,850632000
2017-02-15,2.72,2.74,2.69,2.72,373020000
2017-02-16,2.73,2.74,2.64,2.68,647176000
2017-02-17,2.67,2.69,2.62,2.68,563740000
2017-02-21,2.71,2.78,2.71,2.78,551952000
2017-02-22,2.79,2.8,2.75,2.77,433772000
2017-02-23,2.64,2.66,2.49,2.51,1592888000
2017-02-24,2.43,2.55,2.39,2.54,1029904000
2017-02-27,2.56,2.63,2.54,2.61,715400000
2017-02-28,2.62,2.63,2.52,2.54,625360000
2017-03-01,2.59,2.61,2.53,2.57,504804000
2017-03-02,2.56,2.57,2.47,2.47,754332000
2017-03-03,2.46,2.47,2.41,2.46,864692000
2017-03-06,2.42,2.45,2.38,2.44,883568000
2017-03-07,2.44,2.49,2.43,2.47,603400000
2017-03-08,2.52,2.53,2.46,2.46,638712000
2017-03-09,2.45,2.49,2.43,2.46,478060000
2017-03-10,2.49,2.5,2.46,2.48,499740000
2017-03-13,2.49,2.56,2.49,2.55,774136000
2017-03-14,2.56,2.57,2.51,2.54,522016000
2017-03-15,2.56,2.57,2.51,2.56,615036000
2017-03-16,2.57,2.6,2.56,2.6,523100000
2017-03-17,2.61,2.65,2.6,2.65,1119688000
2017-03-20,2.67,2.74,2.65,2.74,748568000
2017-03-21,2.72,2.75,2.64,2.65,913484000
2017-03-22,2.64,2.71,2.63,2.7,616764000
2017-03-23,2.69,2.71,2.67,2.68,533940000
2017-03-24,2.72,2.73,2.66,2.69,439500000
2017-03-27,2.64,2.71,2.59,2.71,506644000
2017-03-28,2.71,2.72,2.68,2.69,432444000
2017-03-29,2.7,2.71,2.68,2.68,349992000
2017-03-30,2.69,2.75,2.68,2.73,525532000
2017-03-31,2.73,2.75,2.71,2.72,440808000
2017-04-03,2.72,2.74,2.69,2.71,445232000
2017-04-04,2.59,2.61,2.51,2.52,1271280000
2017-04-05,2.5,2.56,2.49,2.5,747048000
2017-04-06,2.51,2.53,2.46,2.52,635120000
